统计项,数值
总样本条数,10
总存储空间(bytes),29219884
总存储空间,27.87 MB
纯text总字符数(剔除base64图片),155114
纯text总Tokens估算(中文1字/英文4字符≈1token),57799
base64内嵌图片总数,112
原创内容条数,9
关联CVE文章数,3
,
=== 数据来源(类型)分布 ===,记录数
技术社区,10
安全厂商博客,0
,
=== 数据来源(平台)分布 ===,记录数
先知社区,8
安全客,2
,
=== 内容分类(方向)分布 ===,记录数
漏洞分析,4
注入,3
应急工具,1
恶意样本,1
RCE,1
,
=== 标注语言分布(有值) ===,记录数
Python,2
PHP,1
C++,1
汇编,1
,
=== 发布年份分布 ===,记录数
2021,1
2023,1
2024,1
2026,7
,
=== 匿名化/去武器化处理覆盖 ===,出现次数
"内网/回环/监听IP占位(10.x.x.x, 含具体内网IP)",72
"私有域名占位(example.com, 由localhost替换)",16
"真实隐私泄露(真实内网IP/回环/真实邮箱/手机, 应为0)",0
,
"=== 全局重复率检测(规范化MD5, 剔除base64) ===",数值
精确重复条数,0
全局重复率(%),0.00%
